title,location,price
4 Bedroom House,  Kitusuru Road,240000000
2 Bedroom Flat & Apartment,  Muringa Road,9800000
2 Bedroom Flat & Apartment,  Kileleshwa,8500000
2 Bedroom Flat & Apartment,  Kileleshwa,13000000
4 Bedroom House,  Karen,110000000
Warehouse,  Industrial Area,70000000
Flat & Apartment,  Kileleshwa,6500000
3 Bedroom Flat & Apartment,  Kileleshwa,12000000
4 Bedroom Flat & Apartment,  Kileleshwa,12500000
2 Bedroom Flat & Apartment,  Kileleshwa,18180000
2 Bedroom Flat & Apartment,  Kileleshwa,16500000
4 Bedroom Flat & Apartment,  Kileleshwa,37000000
5 Bedroom House,  Lavington ,75000000
3 Bedroom Flat & Apartment,  Gatundu Cresent,20000000
3 Bedroom Flat & Apartment,  Gatundu Cresent,20000000
3 Bedroom Flat & Apartment,  Laikipia Road,12500000
4 Bedroom Flat & Apartment,  Othaya Road,26500000
4 Bedroom Flat & Apartment,  Othaya Road,21500000
3 Bedroom Flat & Apartment,  Othaya Road,11000000
4 Bedroom Flat & Apartment,  Othaya Road,21500000
4 Bedroom Flat & Apartment,  Othaya Road,21500000
3 Bedroom Flat & Apartment,  Othaya Road,11000000
4 Bedroom Flat & Apartment,  Othaya Road,26500000
4 Bedroom Flat & Apartment,  Othaya Road,26500000
3 Bedroom Flat & Apartment,  Lavington,12500000
2 Bedroom Flat & Apartment,  Mkoma Road,8000000
4 Bedroom Flat & Apartment,  Othaya Road,21500000
4 Bedroom Flat & Apartment,  Othaya Road,21500000
2 Bedroom Flat & Apartment,  Kileleshwa,10000000
4 Bedroom Flat & Apartment,  Othaya Road,20500000
5 Bedroom Townhouse,  Karen,65000000
4 Bedroom Flat & Apartment,  Othaya Road ,21500000
2 Bedroom Flat & Apartment,  Kileleshwa,7500000
2 Bedroom Flat & Apartment,  Othaya Road,7500000
5 Bedroom Flat & Apartment,  General Mathenge,105000000
4 Bedroom Flat & Apartment,  Othaya Road,26500000
4 Bedroom Townhouse,  Runda,27450000
2 Bedroom Flat & Apartment,  Mogotio Road,13000000
3 Bedroom Flat & Apartment,  Clay City,8650000
2 Bedroom Flat & Apartment,  Mogotia Road,13000000
2 Bedroom Flat & Apartment,  Mogotio Road,13000000
2 Bedroom Flat & Apartment,  Mogotio Road,13000000
4 Bedroom Flat & Apartment,  Gen. Mathege Road,45000000
4 Bedroom Flat & Apartment,  Gen. Mathege Road,45000000
5 Bedroom House,  Loresho Ridge ,180000000
3 Bedroom Flat & Apartment,  Lavington,17000000
4 Bedroom Flat & Apartment,  Gen. Mathege Road,45000000
2 Bedroom Flat & Apartment,  Mogotia Road,13000000
4 Bedroom Flat & Apartment,  Gen. Mathege Road,45000000
4 Bedroom Flat & Apartment,  Gen. Mathege Road,45000000
3 Bedroom Flat & Apartment,  Parklands,30000000
2 Bedroom Flat & Apartment,  Kilimani,22000000
2 Bedroom Flat & Apartment,  Kilimani,12900000
Studio,  Kilimani,13280000
5 Bedroom Townhouse,  Loresho,105000000
3 Bedroom House,  Sub zone,8500000
3 Bedroom Flat & Apartment,  Kilimani,14650000
3 Bedroom Flat & Apartment,  Lavington,28000000
3 Bedroom Flat & Apartment,  Kilimani,15450000
4 Bedroom Flat & Apartment,  Kilimani,16450000
4 Bedroom Townhouse,  Kitisuru,190000000
2 Bedroom Flat & Apartment,  Parklands,14700000
3 Bedroom Flat & Apartment,  Muhoho Avenue,13500000
4 Bedroom Flat & Apartment,  1St Parklands Avenue ,20000000
6 Bedroom House,  Old Runda,100000000
2 Bedroom Flat & Apartment,  Off Kindaruma Road,12000000
4 Bedroom House,  Loresho Ridge,72000000
4 Bedroom Townhouse,  Kiambu Road,19500000
4 Bedroom House,  Kauria Road,65000000
3 Bedroom Flat & Apartment,  Valley Arcade,11500000
4 Bedroom Flat & Apartment,  General Mathenge,30000000
4 Bedroom Flat & Apartment,  Valley Arcade ,20000000
3 Bedroom Bungalow,  Kagundo Road,5500000
4 Bedroom House,  Karen,80000000
3 Bedroom Flat & Apartment,  Lavington,12500000
3 Bedroom Flat & Apartment,  Othaya Road,17500000
3 Bedroom Flat & Apartment,  Githunguri Road,16500000
8 Bedroom Townhouse,  Kitisuru,160000000
3 Bedroom Flat & Apartment,  Four Points Apartments,8500000
2 Bedroom Flat & Apartment,  Ojijo Road,16500000
3 Bedroom Townhouse,  Parklands,21000000
3 Bedroom Flat & Apartment,  Riara Road,19000000
2 Bedroom Flat & Apartment,  Ojijo Road,16500000
2 Bedroom Flat & Apartment,  Ojijo Road,16500000
2 Bedroom Flat & Apartment,  Kilimani,11000000
3 Bedroom Flat & Apartment,  Lavington,17500000
2 Bedroom Flat & Apartment,  Ojijo Road,16500000
5 Bedroom Townhouse,  Miotoni West Road,83000000
3 Bedroom Townhouse,  Suswa Road Off Kusi Lane,30000000
2 Bedroom Flat & Apartment,  Ojijo Road,16500000
4 Bedroom Townhouse,  Kitisuru,75000000
3 Bedroom Flat & Apartment,  Muringa Road,14000000
3 Bedroom Flat & Apartment,  Dennis Pritt,12500000
3 Bedroom Flat & Apartment,  Kilimani,14450000
2 Bedroom Flat & Apartment,  Riara Road,13000000
2 Bedroom Flat & Apartment,  1St Parklands ,18000000
2 Bedroom Flat & Apartment,  Parklands,18800000
6 Bedroom Townhouse,  Runda,200000000
4 Bedroom House,  Hatheru Road,45000000
4 Bedroom Flat & Apartment,  Othaya Road,26500000
6 Bedroom House,  Karen,90000000
3 Bedroom House,  Riara Road,40000000
3 Bedroom Townhouse,  Riara Road,40000000
4 Bedroom Flat & Apartment,  Limuru Road - City Park ,22000000
3 Bedroom Flat & Apartment,  Westlands,17000000
Land,  Kilimani,550000000
4 Bedroom Flat & Apartment,  Ita Road - Parklands ,24500000
2 Bedroom Flat & Apartment,  Lavington,11000000
4 Bedroom House,  Riara Road,40000000
5 Bedroom Townhouse,  Mugumo Road,75000000
5 Bedroom Townhouse,  Kyuna,95000000
3 Bedroom Flat & Apartment,  Kilimani,12950000
3 Bedroom Townhouse,  Mombasa Road,8000000
Flat & Apartment,  Kileleshwa,14000000
4 Bedroom Townhouse,  Lavington,64000000
5 Bedroom Townhouse,  Lavington,55000000
4 Bedroom Townhouse,  Lavington,64000000
5 Bedroom Townhouse,  Kaputei Gardens,65000000
5 Bedroom Townhouse,  Lavington,200000000
