iter	Passed	Remaining
577	2987	2180
578	2990	2174
579	2994	2168
580	2999	2162
581	3003	2156
582	3007	2150
583	3011	2144
584	3015	2138
585	3020	2134
586	3026	2129
587	3030	2123
588	3034	2117
589	3037	2110
590	3041	2105
591	3045	2099
592	3050	2093
593	3054	2087
594	3058	2081
595	3062	2075
596	3067	2070
597	3073	2065
598	3079	2061
599	3083	2055
600	3086	2049
601	3090	2043
602	3094	2037
603	3098	2031
604	3102	2025
605	3106	2019
606	3110	2013
607	3116	2009
608	3120	2003
609	3128	1999
610	3134	1995
611	3138	1989
612	3142	1984
613	3147	1978
614	3151	1973
615	3155	1967
616	3161	1962
617	3166	1957
618	3170	1951
619	3175	1946
620	3180	1941
621	3187	1936
622	3193	1932
623	3198	1927
624	3203	1922
625	3209	1917
626	3213	1911
627	3218	1906
628	3222	1900
629	3227	1895
630	3232	1890
631	3236	1884
632	3241	1879
633	3246	1874
634	3251	1868
635	3255	1863
636	3261	1858
637	3266	1853
638	3271	1848
639	3277	1843
640	3281	1837
641	3286	1832
642	3290	1826
643	3294	1821
644	3298	1815
645	3302	1809
646	3306	1804
647	3311	1798
648	3314	1792
649	3318	1787
650	3324	1782
651	3328	1776
652	3333	1771
653	3338	1766
654	3342	1760
655	3347	1755
656	3351	1749
657	3356	1744
658	3361	1739
659	3365	1733
660	3369	1728
661	3373	1722
662	3377	1716
663	3381	1711
664	3386	1705
665	3390	1700
666	3394	1694
667	3402	1690
668	3407	1685
669	3411	1680
670	3417	1675
671	3422	1670
672	3428	1665
673	3434	1661
674	3440	1656
675	3445	1651
676	3452	1647
677	3457	1642
678	3463	1637
679	3469	1632
680	3473	1626
681	3477	1621
682	3482	1616
683	3487	1611
684	3491	1605
685	3495	1600
686	3500	1594
687	3503	1588
688	3507	1583
689	3511	1577
690	3516	1572
691	3520	1566
692	3524	1561
693	3529	1556
694	3534	1551
695	3539	1546
696	3543	1540
697	3549	1535
698	3553	1530
699	3557	1524
700	3561	1519
701	3566	1513
702	3570	1508
703	3576	1503
704	3581	1498
705	3586	1493
706	3590	1488
707	3595	1482
708	3599	1477
709	3605	1472
710	3609	1467
711	3615	1462
712	3619	1457
713	3624	1451
714	3629	1446
715	3633	1441
716	3637	1435
717	3642	1430
718	3646	1425
719	3651	1420
720	3655	1414
721	3660	1409
722	3664	1404
723	3670	1399
724	3676	1394
725	3681	1389
726	3685	1384
727	3689	1378
728	3693	1373
729	3698	1367
730	3702	1362
731	3707	1357
732	3711	1351
733	3716	1346
734	3720	1341
735	3725	1336
736	3730	1331
737	3735	1326
738	3739	1320
739	3743	1315
740	3747	1309
741	3751	1304
742	3756	1299
743	3760	1294
744	3765	1288
745	3770	1283
746	3774	1278
747	3780	1273
748	3784	1268
749	3788	1262
750	3793	1257
751	3800	1253
752	3806	1248
753	3811	1243
754	3816	1238
755	3821	1233
756	3825	1227
757	3830	1222
758	3835	1217
759	3840	1212
760	3846	1208
761	3852	1203
762	3856	1197
763	3861	1192
764	3866	1187
765	3871	1182
766	3876	1177
767	3881	1172
768	3884	1166
769	3890	1162
770	3894	1156
771	3898	1151
772	3903	1146
773	3908	1141
774	3912	1135
775	3916	1130
776	3921	1125
777	3924	1119
778	3930	1115
779	3934	1109
780	3939	1104
781	3945	1099
782	3949	1094
783	3953	1089
784	3957	1083
785	3961	1078
786	3966	1073
787	3971	1068
788	3975	1063
789	3980	1057
790	3984	1052
791	3988	1047
792	3993	1042
793	3997	1037
794	4002	1032
795	4006	1026
796	4010	1021
797	4014	1016
798	4018	1010
799	4022	1005
800	4026	1000
801	4030	995
802	4035	989
803	4039	984
804	4044	979
805	4048	974
806	4052	969
807	4057	964
808	4063	959
809	4068	954
810	4072	949
811	4076	943
812	4081	938
813	4085	933
814	4090	928
815	4094	923
816	4098	918
817	4103	912
818	4107	907
819	4111	902
820	4115	897
821	4119	892
822	4124	887
823	4128	881
824	4132	876
825	4136	871
826	4141	866
827	4148	861
828	4153	856
829	4160	852
830	4164	846
831	4168	841
832	4173	836
833	4178	831
834	4182	826
835	4186	821
836	4191	816
837	4195	811
838	4199	805
839	4203	800
840	4208	795
841	4213	790
842	4219	785
843	4225	781
844	4231	776
845	4240	771
846	4245	766
847	4250	761
848	4259	757
849	4264	752
850	4271	747
851	4276	742
852	4280	737
853	4289	733
854	4294	728
855	4300	723
856	4306	718
857	4313	713
858	4320	709
859	4325	704
860	4330	699
861	4337	694
862	4341	689
863	4345	684
864	4350	679
865	4354	673
866	4359	668
867	4363	663
868	4368	658
869	4372	653
870	4376	648
871	4382	643
872	4386	638
873	4390	632
874	4395	627
875	4399	622
876	4403	617
877	4408	612
878	4412	607
879	4417	602
880	4421	597
881	4425	592
882	4430	587
883	4434	581
884	4439	576
885	4443	571
886	4447	566
887	4452	561
888	4456	556
889	4460	551
890	4465	546
891	4469	541
892	4473	536
893	4477	530
894	4481	525
895	4486	520
896	4490	515
897	4494	510
898	4499	505
899	4504	500
900	4508	495
901	4514	490
902	4518	485
903	4522	480
904	4526	475
905	4530	470
906	4533	464
907	4538	459
908	4543	454
909	4547	449
910	4552	444
911	4555	439
912	4560	434
913	4564	429
914	4568	424
915	4572	419
916	4576	414
917	4580	409
918	4585	404
919	4588	399
920	4593	393
921	4596	388
922	4601	383
923	4605	378
924	4609	373
925	4613	368
926	4617	363
927	4621	358
928	4626	353
929	4630	348
930	4634	343
931	4638	338
932	4643	333
933	4647	328
934	4651	323
935	4655	318
936	4659	313
937	4663	308
938	4667	303
939	4672	298
940	4678	293
941	4682	288
942	4688	283
943	4692	278
944	4698	273
945	4705	268
946	4709	263
947	4714	258
948	4721	253
949	4727	248
950	4732	243
951	4738	238
952	4742	233
953	4747	228
954	4751	223
955	4755	218
956	4759	213
957	4763	208
958	4768	203
959	4772	198
960	4777	193
961	4781	188
962	4785	183
963	4790	178
964	4794	173
965	4797	168
966	4801	163
967	4805	158
968	4809	153
969	4814	148
970	4818	143
971	4821	138
972	4825	133
973	4831	128
974	4834	123
975	4838	118
976	4844	114
977	4850	109
978	4854	104
979	4859	99
980	4864	94
981	4868	89
982	4872	84
983	4877	79
984	4881	74
985	4885	69
986	4889	64
987	4893	59
988	4898	54
989	4902	49
990	4906	44
991	4911	39
992	4915	34
993	4920	29
994	4925	24
995	4931	19
996	4935	14
997	4939	9
998	4943	4
999	4947	0
